date | value
2012-01-11 | 1
2012-01-11 | 2
2012-01-11 | 3
2012-01-11 | 4
2012-01-11 | 5
2012-01-11 | 6
2012-01-11 | 7
2012-01-11 | 8
2012-01-11 | 9
2012-01-11 | 10
2012-01-11 | 11
2012-01-11 | 12
2012-01-11 | 13
2012-01-11 | 14
2012-01-11 | 15
2012-01-11 | 16
2012-01-11 | 17
2012-01-11 | 18
2012-01-11 | 19
2012-01-11 | 20
2012-01-11 | 21
2012-01-11 | 22
2012-01-11 | 23
2012-01-11 | 24
2012-01-11 | 25
2012-01-11 | 26
2012-01-11 | 27
2012-01-11 | 28
2012-01-11 | 29
2012-01-11 | 30
2012-01-11 | 31
2012-01-11 | 32
2012-01-11 | 33
2012-01-11 | 34
2012-01-11 | 35
2012-01-11 | 36
2012-01-11 | 37
2012-01-11 | 38
2012-01-11 | 39
2012-01-11 | 40
2012-01-11 | 41
2012-01-11 | 42
2012-01-11 | 43
2012-01-11 | 44
2012-01-11 | 45
2012-01-11 | 46
2012-01-11 | 47
2012-01-11 | 48
2012-01-11 | 49
2012-01-11 | 50
2012-01-11 | 51
2012-01-11 | 52
2012-01-11 | 53
2012-01-11 | 54
2012-01-11 | 55
2012-01-11 | 56
2012-01-11 | 57
2012-01-11 | 58
2012-01-11 | 59
2012-01-11 | 60
2012-01-11 | 61
2012-01-11 | 62
2012-01-11 | 63
2012-01-11 | 64
2012-01-11 | 65
2012-01-11 | 66
2012-01-11 | 67
2012-01-11 | 68
2012-01-11 | 69
2012-01-11 | 70
2012-01-11 | 71
2012-01-11 | 72
2012-01-11 | 73
2012-01-11 | 74
2012-01-11 | 75
2012-01-11 | 76
2012-01-11 | 77
2012-01-11 | 78
2012-01-11 | 79
2012-01-11 | 80
2012-01-11 | 81
2012-01-11 | 82
2012-01-11 | 83
2012-01-11 | 84
2012-01-11 | 85
2012-01-11 | 86
2012-01-11 | 87
2012-01-11 | 88
2012-01-11 | 89
2012-01-11 | 90
2012-01-11 | 91
2012-01-11 | 92
2012-01-11 | 93
2012-01-11 | 94
2012-01-11 | 95
2012-01-11 | 96
2012-01-11 | 97
2012-01-11 | 98
2012-01-11 | 99
2012-01-11 | 100
2012-01-11 | 101
2012-01-11 | 102
2012-01-11 | 103
2012-01-11 | 104
2012-01-11 | 105
2012-01-11 | 106
2012-01-11 | 107
2012-01-11 | 108
2012-01-11 | 109
2012-01-11 | 110
2012-01-11 | 111
2012-01-11 | 112
2012-01-11 | 113
2012-01-11 | 114
2012-01-11 | 115
2012-01-11 | 116
2012-01-11 | 117
2012-01-11 | 118
2012-01-11 | 119
2012-01-11 | 120
2012-01-11 | 121
2012-01-11 | 122
2012-01-11 | 123
2012-01-11 | 124
2012-01-11 | 125
2012-01-11 | 126
2012-01-11 | 127
2012-01-11 | 128
2012-01-11 | 129
2012-01-11 | 130
2012-01-11 | 131
2012-01-11 | 132
2012-01-11 | 133
2012-01-11 | 134
2012-01-11 | 135
2012-01-11 | 136
2012-01-11 | 137
2012-01-11 | 138
2012-01-11 | 139
2012-01-11 | 140
2012-01-11 | 141
2012-01-11 | 142
2012-01-11 | 143
2012-01-11 | 144
2012-01-11 | 145
2012-01-11 | 146
2012-01-11 | 147
2012-01-11 | 148
2012-01-11 | 149
2012-01-11 | 150
2012-01-11 | 151
2012-01-11 | 152
2012-01-11 | 153
2012-01-11 | 154
